ID,Nom,Prénom,Date_de_naissance,Mail
BS222322,Fréville,Franck,02/11/1992,test@gmail.com
HA084856,Wattiez,Arnaud,03/01/1995,arnaud.wattiez@gmail.com
GK599133,zdzif,Arnaud,zfzqfq,zfqz
NC560074,zfzfzq,Arnaud,544,fzfzfz
XA640001,fzfz,tet,fzfzf,fzfz
LU277934,heheheheh,heheh,hehehheh,heheheheh
MK092210,gegehesh,heijg,zgqgqg,hghqhgqh
GN006797,Fréville,Franck,02/11/1992,test@gmail.com
EO804142,Claude,Jean,25/12/2000,fghj@gmail.fr
EB278681,ghjk,ghjk,15/12/2000,fghjk
MV140568,fghjkl,dfghjkl,12/12/2000,sdfghjk
FF979174,Tjhheh,Testtttt,02/11/1992,ttee@gzhh
